"data_as_of","start_week","end_week","state","sex","age_group","covid_19_deaths","total_deaths","pneumonia_deaths","pneumonia_and_covid_19_deaths","influenza_deaths","pneumonia_influenza_and_covid","footnote"
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","All Sexes","Under 1 year","4","3725","34","1","11","48",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","All Sexes","1-4 years","2","723","33","2","30","63",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","All Sexes","5-14 years","3","1072","37","0","40","80",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","All Sexes","15-24 years","42","6385","133","16","41","197",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","All Sexes","25-34 years","278","13532","458","117","130","737",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","All Sexes","35-44 years","707","19539","1036","278","206","1648",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","All Sexes","45-54 years","1929","37899","2675","792","513","4235",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","All Sexes","55-64 years","4688","91146","7820","2065","1083","11336",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","All Sexes","65-74 years","8001","141556","13408","3544","1274","18938",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","All Sexes","75-84 years","10196","177917","17804","4648","1308","24500",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","All Sexes","85 years and over","11458","225944","20944","5101","1210","28383",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","All Sexes Total","All Ages","37308","719438","64382","16564","5846","90165",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","Male","Under 1 year","2","2038","22","1","5","28",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","Male","1-4 years","1","404","18","1","16","34",
"2020-05-01T00:00:00.000","2020-02-01T00:00:00.000","2020-04-25T00:00:00.000","United States","Male","5-14 years","3","623","17","0","16","36",
