Date,Demographic Group,People with at least one dose,People who are fully vaccinated,Percent of group with at least one dose,Percent of group fully vaccinated,Census
2021-05-19,Sex_unknown,1641644,1106170,0,0,0
2021-05-18,Sex_unknown,1636646,1099659,0,0,0
2021-05-17,Sex_unknown,1634476,1096273,0,0,0
2021-05-16,Sex_unknown,1630372,1090060,0,0,0
2021-05-15,Sex_unknown,1624025,1081310,0,0,0
2021-05-14,Sex_unknown,1617176,1070763,0,0,0
2021-05-13,Sex_unknown,1611754,1062102,0,0,0
2021-05-12,Sex_unknown,1604451,1050790,0,0,0
2021-05-11,Sex_unknown,1599547,1042548,0,0,0
2021-05-10,Sex_unknown,1596879,1038344,0,0,0
2021-05-09,Sex_unknown,1594018,1030779,0,0,0
2021-05-08,Sex_unknown,1586710,1020617,0,0,0
2021-05-07,Sex_unknown,1579777,1007320,0,0,0
2021-05-06,Sex_unknown,1572375,994370,0,0,0
2021-05-05,Sex_unknown,1561129,983059,0,0,0
2021-05-04,Sex_unknown,1555735,974308,0,0,0
2021-05-03,Sex_unknown,1552869,969715,0,0,0
2021-05-02,Sex_unknown,1548883,964325,0,0,0
2021-05-01,Sex_unknown,1539776,952690,0,0,0
2021-04-30,Sex_unknown,1528127,936620,0,0,0
2021-04-29,Sex_unknown,1518253,922510,0,0,0
2021-04-28,Sex_unknown,1508684,909578,0,0,0
2021-04-27,Sex_unknown,1501018,900678,0,0,0
2021-04-26,Sex_unknown,1496588,896832,0,0,0
2021-04-25,Sex_unknown,1488181,889669,0,0,0
2021-04-24,Sex_unknown,1477655,878748,0,0,0
2021-04-23,Sex_unknown,1464980,865817,0,0,0
2021-04-22,Sex_unknown,1450233,851748,0,0,0
2021-04-21,Sex_unknown,1439892,840970,0,0,0
2021-04-20,Sex_unknown,1428223,831521,0,0,0
2021-04-19,Sex_unknown,1421552,826285,0,0,0
2021-04-18,Sex_unknown,1411876,818861,0,0,0
2021-04-17,Sex_unknown,1396723,804975,0,0,0
2021-04-16,Sex_unknown,1381426,790710,0,0,0
2021-04-15,Sex_unknown,1365713,777173,0,0,0
2021-04-14,Sex_unknown,1351064,765045,0,0,0
2021-04-13,Sex_unknown,1335737,751542,0,0,0
2021-04-12,Sex_unknown,1322898,740134,0,0,0
2021-04-11,Sex_unknown,1309414,728161,0,0,0
2021-04-10,Sex_unknown,1291880,712815,0,0,0
2021-04-09,Sex_unknown,1262524,692490,0,0,0
2021-04-08,Sex_unknown,1241797,677328,0,0,0
2021-04-07,Sex_unknown,1226909,665972,0,0,0
2021-04-06,Sex_unknown,1212942,654533,0,0,0
2021-04-05,Sex_unknown,1182600,630080,0,0,0
2021-04-04,Sex_unknown,1182371,629916,0,0,0
2021-04-03,Sex_unknown,1181519,628669,0,0,0
2021-04-02,Sex_unknown,1160531,615661,0,0,0
2021-04-01,Sex_unknown,1134808,601582,0,0,0
2021-03-31,Sex_unknown,1117751,592246,0,0,0
2021-03-30,Sex_unknown,1103682,582556,0,0,0
2021-03-29,Sex_unknown,1097425,577593,0,0,0
2021-03-28,Sex_unknown,1086914,570739,0,0,0
2021-03-27,Sex_unknown,1069695,559185,0,0,0
2021-03-26,Sex_unknown,1048939,548748,0,0,0
2021-03-25,Sex_unknown,1026687,538715,0,0,0
2021-03-24,Sex_unknown,1012430,531896,0,0,0
2021-03-23,Sex_unknown,998807,526003,0,0,0
2021-03-22,Sex_unknown,982871,520447,0,0,0
2021-03-21,Sex_unknown,971402,516013,0,0,0
2021-03-20,Sex_unknown,954806,508620,0,0,0
2021-03-19,Sex_unknown,938600,501899,0,0,0
2021-03-18,Sex_unknown,925942,496211,0,0,0
2021-03-17,Sex_unknown,910107,488480,0,0,0
2021-03-16,Sex_unknown,899120,484367,0,0,0
2021-03-15,Sex_unknown,891564,481016,0,0,0
2021-03-14,Sex_unknown,881598,476027,0,0,0
2021-03-13,Sex_unknown,862845,465992,0,0,0
2021-03-12,Sex_unknown,842149,456090,0,0,0
2021-03-11,Sex_unknown,826331,448506,0,0,0
2021-03-10,Sex_unknown,812216,441021,0,0,0
2021-03-09,Sex_unknown,797829,433686,0,0,0
2021-03-08,Sex_unknown,787650,428274,0,0,0
2021-03-07,Sex_unknown,776738,422448,0,0,0
2021-03-06,Sex_unknown,762498,414676,0,0,0
2021-03-05,Sex_unknown,747344,406567,0,0,0
2021-03-04,Sex_unknown,734681,399639,0,0,0
2021-03-03,Sex_unknown,722644,392085,0,0,0
2021-03-02,Sex_unknown,712855,387057,0,0,0
2021-03-01,Sex_unknown,704838,381249,0,0,0
2021-02-28,Sex_unknown,698150,375704,0,0,0
2021-02-27,Sex_unknown,685688,366457,0,0,0
2021-02-26,Sex_unknown,675144,358067,0,0,0
2021-02-25,Sex_unknown,666226,350183,0,0,0
2021-02-24,Sex_unknown,659285,343660,0,0,0
2021-02-23,Sex_unknown,654711,338089,0,0,0
2021-02-22,Sex_unknown,652420,335984,0,0,0
2021-02-21,Sex_unknown,648387,330962,0,0,0
2021-02-20,Sex_unknown,641834,322835,0,0,0
2021-02-19,Sex_unknown,635670,316237,0,0,0
2021-02-18,Sex_unknown,626870,308559,0,0,0
2021-02-17,Sex_unknown,620518,301548,0,0,0
2021-02-16,Sex_unknown,615210,297670,0,0,0
2021-02-15,Sex_unknown,612795,296252,0,0,0
2021-02-14,Sex_unknown,608442,292412,0,0,0
2021-02-13,Sex_unknown,595848,280303,0,0,0
2021-02-12,Sex_unknown,587462,271699,0,0,0
2021-02-11,Sex_unknown,579490,266565,0,0,0
2021-02-10,Sex_unknown,572938,262523,0,0,0
2021-02-09,Sex_unknown,566786,259189,0,0,0
2021-02-08,Sex_unknown,562435,257567,0,0,0
2021-02-07,Sex_unknown,555191,255081,0,0,0
2021-02-06,Sex_unknown,544685,249902,0,0,0
2021-02-05,Sex_unknown,532654,237924,0,0,0
2021-02-04,Sex_unknown,523389,225787,0,0,0
2021-02-03,Sex_unknown,513701,213650,0,0,0
2021-02-02,Sex_unknown,508163,203218,0,0,0
2021-02-01,Sex_unknown,505412,202233,0,0,0
2021-01-31,Sex_unknown,498137,200221,0,0,0
2021-01-30,Sex_unknown,484828,190443,0,0,0
2021-01-29,Sex_unknown,472974,177139,0,0,0
2021-01-28,Sex_unknown,461208,160560,0,0,0
2021-01-27,Sex_unknown,452537,141447,0,0,0
2021-01-26,Sex_unknown,443765,124327,0,0,0
2021-01-25,Sex_unknown,438911,123467,0,0,0
2021-01-24,Sex_unknown,432165,119477,0,0,0
2021-01-23,Sex_unknown,415199,112306,0,0,0
2021-01-22,Sex_unknown,400381,101029,0,0,0
2021-01-21,Sex_unknown,379496,84160,0,0,0
2021-01-20,Sex_unknown,326504,64651,0,0,0
2021-01-19,Sex_unknown,318653,62334,0,0,0
2021-01-18,Sex_unknown,314380,61813,0,0,0
2021-01-17,Sex_unknown,309079,60591,0,0,0
2021-01-16,Sex_unknown,296224,57238,0,0,0
2021-01-15,Sex_unknown,277167,52571,0,0,0
2021-01-14,Sex_unknown,264518,44649,0,0,0
2021-01-13,Sex_unknown,251807,36284,0,0,0
2021-01-12,Sex_unknown,241747,26777,0,0,0
2021-01-11,Sex_unknown,239603,25970,0,0,0
2021-01-10,Sex_unknown,234305,22400,0,0,0
2021-01-09,Sex_unknown,221584,12655,0,0,0
2021-01-08,Sex_unknown,206406,6162,0,0,0
2021-01-07,Sex_unknown,192112,2479,0,0,0
2021-01-06,Sex_unknown,175601,801,0,0,0
2021-01-05,Sex_unknown,161203,127,0,0,0
2021-01-04,Sex_unknown,159580,99,0,0,0
2021-01-03,Sex_unknown,157961,79,0,0,0
2021-01-02,Sex_unknown,156000,76,0,0,0
2021-01-01,Sex_unknown,141286,68,0,0,0
2020-12-31,Sex_unknown,121746,54,0,0,0
2020-12-30,Sex_unknown,101645,46,0,0,0
2020-12-29,Sex_unknown,85628,31,0,0,0
2020-12-28,Sex_unknown,83508,30,0,0,0
2020-12-27,Sex_unknown,80934,29,0,0,0
2020-12-26,Sex_unknown,78962,28,0,0,0
2020-12-25,Sex_unknown,71530,23,0,0,0
2020-12-24,Sex_unknown,51447,21,0,0,0
2020-12-23,Sex_unknown,35937,14,0,0,0
2020-12-22,Sex_unknown,26717,9,0,0,0
2020-12-21,Sex_unknown,24812,8,0,0,0
2020-12-20,Sex_unknown,21323,8,0,0,0
2020-12-19,Sex_unknown,10955,7,0,0,0
2020-12-18,Sex_unknown,4172,2,0,0,0
2020-12-17,Sex_unknown,580,1,0,0,0
2020-12-16,Sex_unknown,76,0,0,0,0
2021-05-19,Sex_Male,67886648,52959515,45.5,35.5,149107431
2021-05-18,Sex_Male,67515544,52487911,45.3,35.2,149107431
2021-05-17,Sex_Male,67255195,52189467,45.1,35,149107431
2021-05-16,Sex_Male,66930151,51808601,44.9,34.7,149107431
2021-05-15,Sex_Male,66512291,51260823,44.6,34.4,149107431
2021-05-14,Sex_Male,66052967,50550950,44.3,33.9,149107431
2021-05-13,Sex_Male,65744601,49957733,44.1,33.5,149107431
2021-05-12,Sex_Male,65421871,49312148,43.9,33.1,149107431
2021-05-11,Sex_Male,65161946,48815008,43.7,32.7,149107431
2021-05-10,Sex_Male,64857038,48333023,43.5,32.4,149107431
2021-05-09,Sex_Male,64503652,47721205,43.3,32,149107431
2021-05-08,Sex_Male,64110208,46959516,43,31.5,149107431
2021-05-07,Sex_Male,63668798,46139670,42.7,30.9,149107431
2021-05-06,Sex_Male,63138508,45253560,42.3,30.3,149107431
2021-05-05,Sex_Male,62559594,44442659,42,29.8,149107431
2021-05-04,Sex_Male,62237921,43918391,41.7,29.5,149107431
2021-05-03,Sex_Male,62051263,43615841,41.6,29.3,149107431
2021-05-02,Sex_Male,61823230,43273019,41.5,29,149107431
2021-05-01,Sex_Male,61419930,42647472,41.2,28.6,149107431
2021-04-30,Sex_Male,60758612,41729673,40.7,28,149107431
2021-04-29,Sex_Male,60226540,40970236,40.4,27.5,149107431
2021-04-28,Sex_Male,59702412,40245971,40,27,149107431
2021-04-27,Sex_Male,59247045,39652367,39.7,26.6,149107431
2021-04-26,Sex_Male,58883609,39277606,39.5,26.3,149107431
2021-04-25,Sex_Male,58401658,38758553,39.2,26,149107431
2021-04-24,Sex_Male,57764349,37981344,38.7,25.5,149107431
2021-04-23,Sex_Male,57090236,37120959,38.3,24.9,149107431
2021-04-22,Sex_Male,56417830,36267072,37.8,24.3,149107431
2021-04-21,Sex_Male,55782708,35530104,37.4,23.8,149107431
2021-04-20,Sex_Male,55226239,34921216,37,23.4,149107431
2021-04-19,Sex_Male,54785902,34547403,36.7,23.2,149107431
2021-04-18,Sex_Male,54296123,34071862,36.4,22.9,149107431
2021-04-17,Sex_Male,53460227,33246334,35.9,22.3,149107431
2021-04-16,Sex_Male,52626579,32403959,35.3,21.7,149107431
2021-04-15,Sex_Male,51697613,31555226,34.7,21.2,149107431
2021-04-14,Sex_Male,50828989,30754174,34.1,20.6,149107431
2021-04-13,Sex_Male,49990323,30058949,33.5,20.2,149107431
2021-04-12,Sex_Male,49331685,29521531,33.1,19.8,149107431
2021-04-11,Sex_Male,48597092,28876757,32.6,19.4,149107431
2021-04-10,Sex_Male,47644187,28021115,32,18.8,149107431
2021-04-09,Sex_Male,46541312,27047629,31.2,18.1,149107431
2021-04-08,Sex_Male,45477329,26188225,30.5,17.6,149107431
2021-04-07,Sex_Male,44542576,25417886,29.9,17,149107431
2021-04-06,Sex_Male,43783790,24808245,29.4,16.6,149107431
2021-04-05,Sex_Male,41988435,23505914,28.2,15.8,149107431
2021-04-04,Sex_Male,41980625,23488571,28.2,15.8,149107431
2021-04-03,Sex_Male,41960338,23453535,28.1,15.7,149107431
2021-04-02,Sex_Male,40909625,22677838,27.4,15.2,149107431
2021-04-01,Sex_Male,39876497,21951503,26.7,14.7,149107431
2021-03-31,Sex_Male,39024570,21344246,26.2,14.3,149107431
2021-03-30,Sex_Male,38342776,20859157,25.7,14,149107431
2021-03-29,Sex_Male,37914562,20549478,25.4,13.8,149107431
2021-03-28,Sex_Male,37310096,20122190,25,13.5,149107431
2021-03-27,Sex_Male,36456979,19524278,24.5,13.1,149107431
2021-03-26,Sex_Male,35497538,18927065,23.8,12.7,149107431
2021-03-25,Sex_Male,34518296,18395295,23.1,12.3,149107431
2021-03-24,Sex_Male,33705804,17965719,22.6,12,149107431
2021-03-23,Sex_Male,32968177,17592387,22.1,11.8,149107431
2021-03-22,Sex_Male,32476728,17341510,21.8,11.6,149107431
2021-03-21,Sex_Male,31876458,17019238,21.4,11.4,149107431
2021-03-20,Sex_Male,30970748,16555593,20.8,11.1,149107431
2021-03-19,Sex_Male,30041400,16084835,20.1,10.8,149107431
2021-03-18,Sex_Male,29291079,15671577,19.6,10.5,149107431
2021-03-17,Sex_Male,28522200,15239979,19.1,10.2,149107431
2021-03-16,Sex_Male,27899071,14840797,18.7,10,149107431
2021-03-15,Sex_Male,27457054,14543732,18.4,9.8,149107431
2021-03-14,Sex_Male,26918016,14156359,18.1,9.5,149107431
2021-03-13,Sex_Male,26182408,13702872,17.6,9.2,149107431
2021-03-12,Sex_Male,25209790,13123789,16.9,8.8,149107431
2021-03-11,Sex_Male,24447591,12607438,16.4,8.5,149107431
2021-03-10,Sex_Male,23784715,12184207,16,8.2,149107431
2021-03-09,Sex_Male,23249186,11860341,15.6,8,149107431
2021-03-08,Sex_Male,22848835,11619165,15.3,7.8,149107431
2021-03-07,Sex_Male,22395575,11334157,15,7.6,149107431
2021-03-06,Sex_Male,21762531,10926989,14.6,7.3,149107431
2021-03-05,Sex_Male,21024756,10480542,14.1,7,149107431
2021-03-04,Sex_Male,20416273,10102760,13.7,6.8,149107431
2021-03-03,Sex_Male,19938671,9770704,13.4,6.6,149107431
2021-03-02,Sex_Male,19508630,9472877,13.1,6.4,149107431
2021-03-01,Sex_Male,19150050,9274604,12.8,6.2,149107431
2021-02-28,Sex_Male,18736445,8986079,12.6,6,149107431
2021-02-27,Sex_Male,18199584,8566957,12.2,5.7,149107431
2021-02-26,Sex_Male,17667110,8107127,11.8,5.4,149107431
2021-02-25,Sex_Male,17226641,7692775,11.6,5.2,149107431
2021-02-24,Sex_Male,16880975,7344827,11.3,4.9,149107431
2021-02-23,Sex_Male,16602808,7069684,11.1,4.7,149107431
2021-02-22,Sex_Male,16442362,6898909,11,4.6,149107431
2021-02-21,Sex_Male,16230684,6664072,10.9,4.5,149107431
2021-02-20,Sex_Male,15893637,6278638,10.7,4.2,149107431
2021-02-19,Sex_Male,15553489,5927979,10.4,4,149107431
2021-02-18,Sex_Male,15152407,5568711,10.2,3.7,149107431
2021-02-17,Sex_Male,14833198,5269216,9.9,3.5,149107431
2021-02-16,Sex_Male,14586758,5096227,9.8,3.4,149107431
2021-02-15,Sex_Male,14411845,4967896,9.7,3.3,149107431
2021-02-14,Sex_Male,14065787,4760225,9.4,3.2,149107431
2021-02-13,Sex_Male,13557541,4380240,9.1,2.9,149107431
2021-02-12,Sex_Male,13058847,4006540,8.8,2.7,149107431
2021-02-11,Sex_Male,12617159,3665237,8.5,2.5,149107431
2021-02-10,Sex_Male,12250987,3398363,8.2,2.3,149107431
2021-02-09,Sex_Male,11894527,3158066,8,2.1,149107431
2021-02-08,Sex_Male,11671781,3043815,7.8,2,149107431
2021-02-07,Sex_Male,11378184,2919228,7.6,2,149107431
2021-02-06,Sex_Male,10914334,2649000,7.3,1.8,149107431
2021-02-05,Sex_Male,10393383,2364969,7,1.6,149107431
2021-02-04,Sex_Male,9999935,2170409,6.7,1.5,149107431
2021-02-03,Sex_Male,9642240,1985273,6.5,1.3,149107431
2021-02-02,Sex_Male,9374918,1868300,6.3,1.3,149107431
2021-02-01,Sex_Male,9200775,1820171,6.2,1.2,149107431
2021-01-31,Sex_Male,8888550,1736490,6,1.2,149107431
2021-01-30,Sex_Male,8432780,1613774,5.7,1.1,149107431
2021-01-29,Sex_Male,7956892,1465177,5.3,1,149107431
2021-01-28,Sex_Male,7495754,1302368,5,0.9,149107431
2021-01-27,Sex_Male,7094256,1166327,4.8,0.8,149107431
2021-01-26,Sex_Male,6776553,1068837,4.5,0.7,149107431
2021-01-25,Sex_Male,6556567,1034788,4.4,0.7,149107431
2021-01-24,Sex_Male,6251053,995724,4.2,0.7,149107431
2021-01-23,Sex_Male,5782991,935202,3.9,0.6,149107431
2021-01-22,Sex_Male,5339192,855181,3.6,0.6,149107431
2021-01-21,Sex_Male,4916423,751783,3.3,0.5,149107431
2021-01-20,Sex_Male,4629153,683595,3.1,0.5,149107431
2021-01-19,Sex_Male,4392169,643228,2.9,0.4,149107431
2021-01-18,Sex_Male,4251885,627693,2.9,0.4,149107431
2021-01-17,Sex_Male,4040494,608258,2.7,0.4,149107431
2021-01-16,Sex_Male,3705200,570696,2.5,0.4,149107431
2021-01-15,Sex_Male,3323536,517371,2.2,0.3,149107431
2021-01-14,Sex_Male,3014694,440515,2,0.3,149107431
2021-01-13,Sex_Male,2756580,356953,1.8,0.2,149107431
2021-01-12,Sex_Male,2544286,279631,1.7,0.2,149107431
2021-01-11,Sex_Male,2442558,252500,1.6,0.2,149107431
2021-01-10,Sex_Male,2325792,214200,1.6,0.1,149107431
2021-01-09,Sex_Male,2090282,132441,1.4,0.1,149107431
2021-01-08,Sex_Male,1875506,71396,1.3,0,149107431
2021-01-07,Sex_Male,1667314,33163,1.1,0,149107431
2021-01-06,Sex_Male,1496962,13284,1,0,149107431
2021-01-05,Sex_Male,1368221,5720,0.9,0,149107431
2021-01-04,Sex_Male,1324837,5246,0.9,0,149107431
2021-01-03,Sex_Male,1264867,4905,0.8,0,149107431
2021-01-02,Sex_Male,1219086,4728,0.8,0,149107431
2021-01-01,Sex_Male,1108986,4344,0.7,0,149107431
2020-12-31,Sex_Male,944340,3801,0.6,0,149107431
2020-12-30,Sex_Male,809675,3061,0.5,0,149107431
2020-12-29,Sex_Male,695411,2179,0.5,0,149107431
2020-12-28,Sex_Male,658233,1927,0.4,0,149107431
2020-12-27,Sex_Male,631134,1850,0.4,0,149107431
2020-12-26,Sex_Male,607261,1792,0.4,0,149107431
2020-12-25,Sex_Male,548434,1489,0.4,0,149107431
2020-12-24,Sex_Male,417371,1168,0.3,0,149107431
2020-12-23,Sex_Male,309588,768,0.2,0,149107431
2020-12-22,Sex_Male,232787,629,0.2,0,149107431
2020-12-21,Sex_Male,194653,480,0.1,0,149107431
2020-12-20,Sex_Male,148470,301,0.1,0,149107431
2020-12-19,Sex_Male,73500,136,0,0,149107431
2020-12-18,Sex_Male,28443,35,0,0,149107431
2020-12-17,Sex_Male,6445,1,0,0,149107431
2020-12-16,Sex_Male,644,0,0,0,149107431
2021-05-19,Sex_known,145439252,114761107,0,0,0
2021-05-18,Sex_known,144711553,113851017,0,0,0
2021-05-17,Sex_known,144198699,113274285,0,0,0
2021-05-16,Sex_known,143552171,112537314,0,0,0
2021-05-15,Sex_known,142723920,111470508,0,0,0
2021-05-14,Sex_known,141822077,110096437,0,0,0
2021-05-13,Sex_known,141227647,108948745,0,0,0
2021-05-12,Sex_known,140605894,107693493,0,0,0
2021-05-11,Sex_known,140114651,106727939,0,0,0
2021-05-10,Sex_known,139533441,105789102,0,0,0
2021-05-09,Sex_known,138859778,104590446,0,0,0
2021-05-08,Sex_known,138102322,103084528,0,0,0
2021-05-07,Sex_known,137251779,101471714,0,0,0
2021-05-06,Sex_known,136223359,99706089,0,0,0
2021-05-05,Sex_known,135038516,98071492,0,0,0
2021-05-04,Sex_known,134414976,97030255,0,0,0
2021-05-03,Sex_known,134054387,96426685,0,0,0
2021-05-02,Sex_known,133619140,95746403,0,0,0
2021-05-01,Sex_known,132839617,94496355,0,0,0
2021-04-30,Sex_known,131555317,92650959,0,0,0
2021-04-29,Sex_known,130525954,91125922,0,0,0
2021-04-28,Sex_known,129506410,89667191,0,0,0
2021-04-27,Sex_known,128623335,88469019,0,0,0
2021-04-26,Sex_known,127915570,87698321,0,0,0
2021-04-25,Sex_known,126977584,86639154,0,0,0
2021-04-24,Sex_known,125734418,85057025,0,0,0
2021-04-23,Sex_known,124408971,83298057,0,0,0
2021-04-22,Sex_known,123093683,81552513,0,0,0
2021-04-21,Sex_known,121851282,80051198,0,0,0
2021-04-20,Sex_known,120761780,78801977,0,0,0
2021-04-19,Sex_known,119886338,78016661,0,0,0
2021-04-18,Sex_known,118924516,77022717,0,0,0
2021-04-17,Sex_known,117261497,75291558,0,0,0
2021-04-16,Sex_known,115601558,73541629,0,0,0
2021-04-15,Sex_known,113731654,71762698,0,0,0
2021-04-14,Sex_known,112001360,70103455,0,0,0
2021-04-13,Sex_known,110317895,68681265,0,0,0
2021-04-12,Sex_known,109002512,67549996,0,0,0
2021-04-11,Sex_known,107542027,66214456,0,0,0
2021-04-10,Sex_known,105632403,64422564,0,0,0
2021-04-09,Sex_known,103439167,62415436,0,0,0
2021-04-08,Sex_known,101308335,60620769,0,0,0
2021-04-07,Sex_known,99439466,59004969,0,0,0
2021-04-06,Sex_known,97917771,57706598,0,0,0
2021-04-05,Sex_known,94278151,54817401,0,0,0
2021-04-04,Sex_known,94267554,54796861,0,0,0
2021-04-03,Sex_known,94237976,54750708,0,0,0
2021-04-02,Sex_known,92119747,53080342,0,0,0
2021-04-01,Sex_known,89991725,51490238,0,0,0
2021-03-31,Sex_known,88258817,50169163,0,0,0
2021-03-30,Sex_known,86860439,49113556,0,0,0
2021-03-29,Sex_known,85970568,48413365,0,0,0
2021-03-28,Sex_known,84721994,47460843,0,0,0
2021-03-27,Sex_known,82961409,46122757,0,0,0
2021-03-26,Sex_known,80994528,44817777,0,0,0
2021-03-25,Sex_known,78977348,43663541,0,0,0
2021-03-24,Sex_known,77300764,42739055,0,0,0
2021-03-23,Sex_known,75759743,41925653,0,0,0
2021-03-22,Sex_known,74701398,41345596,0,0,0
2021-03-21,Sex_known,73438929,40623329,0,0,0
2021-03-20,Sex_known,71544985,39585508,0,0,0
2021-03-19,Sex_known,69589811,38532863,0,0,0
2021-03-18,Sex_known,68024198,37626212,0,0,0
2021-03-17,Sex_known,66395501,36677514,0,0,0
2021-03-16,Sex_known,65039905,35767402,0,0,0
2021-03-15,Sex_known,64066948,35092624,0,0,0
2021-03-14,Sex_known,62888481,34271943,0,0,0
2021-03-13,Sex_known,61275629,33246263,0,0,0
2021-03-12,Sex_known,59088802,31934220,0,0,0
2021-03-11,Sex_known,57439167,30792737,0,0,0
2021-03-10,Sex_known,55992909,29860726,0,0,0
2021-03-09,Sex_known,54822208,29143869,0,0,0
2021-03-08,Sex_known,53932743,28608751,0,0,0
2021-03-07,Sex_known,52915326,27946815,0,0,0
2021-03-06,Sex_known,51503733,27017065,0,0,0
2021-03-05,Sex_known,49877705,25999313,0,0,0
2021-03-04,Sex_known,48537254,25151347,0,0,0
2021-03-03,Sex_known,47484230,24406262,0,0,0
2021-03-02,Sex_known,46520637,23731188,0,0,0
2021-03-01,Sex_known,45692674,23249839,0,0,0
2021-02-28,Sex_known,44755653,22555700,0,0,0
2021-02-27,Sex_known,43536806,21572825,0,0,0
2021-02-26,Sex_known,42374919,20549874,0,0,0
2021-02-25,Sex_known,41367634,19585198,0,0,0
2021-02-24,Sex_known,40582716,18783319,0,0,0
2021-02-23,Sex_known,39946977,18148600,0,0,0
2021-02-22,Sex_known,39589182,17764993,0,0,0
2021-02-21,Sex_known,39111123,17210088,0,0,0
2021-02-20,Sex_known,38343309,16292794,0,0,0
2021-02-19,Sex_known,37574806,15475047,0,0,0
2021-02-18,Sex_known,36662892,14634609,0,0,0
2021-02-17,Sex_known,35954688,13966945,0,0,0
2021-02-16,Sex_known,35397471,13554873,0,0,0
2021-02-15,Sex_known,35010804,13242705,0,0,0
2021-02-14,Sex_known,34240537,12723922,0,0,0
2021-02-13,Sex_known,33099262,11796192,0,0,0
2021-02-12,Sex_known,31970576,10877834,0,0,0
2021-02-11,Sex_known,30980131,10057048,0,0,0
2021-02-10,Sex_known,30168151,9418384,0,0,0
2021-02-09,Sex_known,29359668,8831707,0,0,0
2021-02-08,Sex_known,28834391,8528837,0,0,0
2021-02-07,Sex_known,28147185,8185746,0,0,0
2021-02-06,Sex_known,27077447,7469181,0,0,0
2021-02-05,Sex_known,25875880,6729847,0,0,0
2021-02-04,Sex_known,24992761,6226714,0,0,0
2021-02-03,Sex_known,24177364,5742716,0,0,0
2021-02-02,Sex_known,23578752,5448099,0,0,0
2021-02-01,Sex_known,23168147,5309416,0,0,0
2021-01-31,Sex_known,22421786,5061900,0,0,0
2021-01-30,Sex_known,21349501,4694764,0,0,0
2021-01-29,Sex_known,20250029,4264697,0,0,0
2021-01-28,Sex_known,19185794,3793220,0,0,0
2021-01-27,Sex_known,18271004,3402576,0,0,0
2021-01-26,Sex_known,17542474,3123269,0,0,0
2021-01-25,Sex_known,16989636,3021712,0,0,0
2021-01-24,Sex_known,16257173,2895595,0,0,0
2021-01-23,Sex_known,15139454,2707884,0,0,0
2021-01-22,Sex_known,14084309,2471259,0,0,0
2021-01-21,Sex_known,13065161,2160695,0,0,0
2021-01-20,Sex_known,12386741,1956238,0,0,0
2021-01-19,Sex_known,11805025,1829329,0,0,0
2021-01-18,Sex_known,11447712,1779647,0,0,0
2021-01-17,Sex_known,10901008,1717959,0,0,0
2021-01-16,Sex_known,10060874,1606874,0,0,0
2021-01-15,Sex_known,9137901,1448369,0,0,0
2021-01-14,Sex_known,8383396,1221513,0,0,0
2021-01-13,Sex_known,7773714,980634,0,0,0
2021-01-12,Sex_known,7227376,758755,0,0,0
2021-01-11,Sex_known,6944057,681390,0,0,0
2021-01-10,Sex_known,6600083,569885,0,0,0
2021-01-09,Sex_known,5967109,341944,0,0,0
2021-01-08,Sex_known,5387296,177608,0,0,0
2021-01-07,Sex_known,4801848,81532,0,0,0
2021-01-06,Sex_known,4317388,31538,0,0,0
2021-01-05,Sex_known,3950253,14084,0,0,0
2021-01-04,Sex_known,3819890,12987,0,0,0
2021-01-03,Sex_known,3643976,12243,0,0,0
2021-01-02,Sex_known,3499045,11756,0,0,0
2021-01-01,Sex_known,3172697,10731,0,0,0
2020-12-31,Sex_known,2683485,9127,0,0,0
2020-12-30,Sex_known,2287930,7344,0,0,0
2020-12-29,Sex_known,1953457,5145,0,0,0
2020-12-28,Sex_known,1848766,4556,0,0,0
2020-12-27,Sex_known,1765456,4356,0,0,0
2020-12-26,Sex_known,1696652,4166,0,0,0
2020-12-25,Sex_known,1527877,3547,0,0,0
2020-12-24,Sex_known,1158239,2729,0,0,0
2020-12-23,Sex_known,845662,1870,0,0,0
2020-12-22,Sex_known,627160,1501,0,0,0
2020-12-21,Sex_known,519246,1148,0,0,0
2020-12-20,Sex_known,392872,733,0,0,0
2020-12-19,Sex_known,188040,362,0,0,0
2020-12-18,Sex_known,68017,88,0,0,0
2020-12-17,Sex_known,14810,9,0,0,0
2020-12-16,Sex_known,644,0,0,0,0
2020-12-15,Sex_known,0,0,0,0,0
2020-12-14,Sex_known,0,0,0,0,0
2020-12-13,Sex_known,0,0,0,0,0
2021-05-19,Sex_Female,77552604,61801592,50.4,40.2,153892887
2021-05-18,Sex_Female,77196009,61363106,50.2,39.9,153892887
2021-05-17,Sex_Female,76943504,61084818,50,39.7,153892887
2021-05-16,Sex_Female,76622020,60728713,49.8,39.5,153892887
2021-05-15,Sex_Female,76211629,60209685,49.5,39.1,153892887
2021-05-14,Sex_Female,75769110,59545487,49.2,38.7,153892887
2021-05-13,Sex_Female,75483046,58991012,49,38.3,153892887
2021-05-12,Sex_Female,75184023,58381345,48.9,37.9,153892887
2021-05-11,Sex_Female,74952705,57912931,48.7,37.6,153892887
2021-05-10,Sex_Female,74676403,57456079,48.5,37.3,153892887
2021-05-09,Sex_Female,74356126,56869241,48.3,37,153892887
2021-05-08,Sex_Female,73992114,56125012,48.1,36.5,153892887
